start_station_name,total_rides
Unknown,934674
Kingsbury St & Kinzie St,39245
Streeter Dr & Grand Ave,34761
Clinton St & Washington Blvd,33389
Clark St & Elm St,33079
Clinton St & Madison St,31396
Wells St & Concord Ln,30202
Wells St & Elm St,29587
DuSable Lake Shore Dr & North Blvd,27219
State St & Chicago Ave,25510
Clinton St & Jackson Blvd,24967
Canal St & Madison St,24328
University Ave & 57th St,23823
Dearborn St & Erie St,23821
Wells St & Huron St,23586
Desplaines St & Kinzie St,23125
DuSable Lake Shore Dr & Monroe St,22830
Michigan Ave & Oak St,22705
Wells St & Hubbard St,22673
Wilton Ave & Belmont Ave,22298
Larrabee St & Kingsbury St,22293
Wabash Ave & Grand Ave,21697
Clark St & Armitage Ave,21318
Ellis Ave & 60th St,21221
Clark St & Lincoln Ave,21176
Broadway & Barry Ave,21156
Dearborn Pkwy & Delaware Pl,21031
Canal St & Adams St,20860
Kingsbury St & Erie St,20568
LaSalle St & Illinois St,20502
Halsted St & Fulton St,20042
Indiana Ave & Roosevelt Rd,19988
Clinton St & Lake St,19878
Sheffield Ave & Fullerton Ave,19794
Orleans St & Merchandise Mart Plaza,19626
Ashland Ave & Division St,19458
Daley Center Plaza,19426
Wabash Ave & Roosevelt Rd,19356
Michigan Ave & Washington St,19130
Millennium Park,19088
Ellis Ave & 55th St,18897
Halsted St & Clybourn Ave,18808
Morgan St & Polk St,18743
Theater on the Lake,18743
Green St & Madison St,18726
Clark St & Wrightwood Ave,18417
Ravenswood Ave & Lawrence Ave,18122
Michigan Ave & Lake St,18098
Broadway & Waveland Ave,18061
Loomis St & Lexington St,17858
Dearborn St & Monroe St,17833
Columbus Dr & Randolph St,17752
Lincoln Ave & Fullerton Ave,17658
New St & Illinois St,17526
Broadway & Cornelia Ave,17523
Clark St & Lake St,17350
McClurg Ct & Ohio St,17200
Damen Ave & Pierce Ave,17012
Wells St & Evergreen Ave,16711
Peoria St & Jackson Blvd,16622
Clark St & Schiller St,16546
Larrabee St & Webster Ave,16254
Halsted St & Polk St,16225
Federal St & Polk St,16205
Clark St & Drummond Pl,15972
Clark St & Newport St,15892
Southport Ave & Waveland Ave,15845
LaSalle St & Jackson Blvd,15668
Aberdeen St & Jackson Blvd,15666
Halsted St & Roscoe St,15424
DuSable Lake Shore Dr & Diversey Pkwy,15404
Sedgwick St & Huron St,15397
Franklin St & Jackson Blvd,15383
State St & 33rd St,15268
Shedd Aquarium,15255
Halsted St & Wrightwood Ave,15160
St. Clair St & Erie St,15147
Franklin St & Lake St,15052
Fairbanks Ct & Grand Ave,14828
Pine Grove Ave & Waveland Ave,14811
Sheffield Ave & Waveland Ave,14723
Milwaukee Ave & Grand Ave,14708
Southport Ave & Roscoe St,14633
Lakeview Ave & Fullerton Pkwy,14490
Kimbark Ave & 53rd St,14452
Sheridan Rd & Irving Park Rd,14401
Rush St & Cedar St,14286
State St & Randolph St,14215
Sheffield Ave & Wrightwood Ave,14184
Michigan Ave & 8th St,14183
Franklin St & Illinois St,14076
Dusable Harbor,14073
MLK Jr Dr & 29th St,13696
Sheffield Ave & Webster Ave,13599
Sheffield Ave & Wellington Ave,13514
McClurg Ct & Erie St,13448
Clark St & Winnemac Ave,13246
Rush St & Superior St,13208
DuSable Lake Shore Dr & Belmont Ave,13189
Sedgwick St & North Ave,12962
Broadway & Sheridan Rd,12933
State St & Kinzie St,12852
Pine Grove Ave & Irving Park Rd,12852
Desplaines St & Jackson Blvd,12836
Sheffield Ave & Kingsbury St,12728
Franklin St & Monroe St,12698
Sheridan Rd & Montrose Ave,12698
Bissell St & Armitage Ave*,12633
Clark St & Wellington Ave,12589
Halsted St & Dickens Ave,12562
900 W Harrison St,12529
Clarendon Ave & Gordon Ter,12526
Ogden Ave & Chicago Ave,12520
Calumet Ave & 33rd St,12458
Sedgwick St & Webster Ave,12404
Broadway & Belmont Ave,12356
Wabash Ave & 9th St,12342
DuSable Lake Shore Dr & Wellington Ave,12164
Racine Ave & Fullerton Ave,11897
